GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC03_EST_VC26,HC03_MOE_VC26,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC03_EST_VC33,HC03_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC03_EST_VC34,HC03_MOE_VC34,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC03_EST_VC41,HC03_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC03_EST_VC42,HC03_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC03_EST_VC43,HC03_MOE_VC43,HC01_EST_VC44,HC01_MOE_VC44,HC02_EST_VC44,HC02_MOE_VC44,HC03_EST_VC44,HC03_MOE_VC44,HC01_EST_VC45,HC01_MOE_VC45,HC02_EST_VC45,HC02_MOE_VC45,HC03_EST_VC45,HC03_MOE_VC45,HC01_EST_VC46,HC01_MOE_VC46,HC02_EST_VC46,HC02_MOE_VC46,HC03_EST_VC46,HC03_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC02_EST_VC47,HC02_MOE_VC47,HC03_EST_VC47,HC03_MOE_VC47,HC01_EST_VC48,HC01_MOE_VC48,HC02_EST_VC48,HC02_MOE_VC48,HC03_EST_VC48,HC03_MOE_VC48,HC01_EST_VC49,HC01_MOE_VC49,HC02_EST_VC49,HC02_MOE_VC49,HC03_EST_VC49,HC03_MOE_VC49,HC01_EST_VC50,HC01_MOE_VC50,HC02_EST_VC50,HC02_MOE_VC50,HC03_EST_VC50,HC03_MOE_VC50,HC01_EST_VC51,HC01_MOE_VC51,HC02_EST_VC51,HC02_MOE_VC51,HC03_EST_VC51,HC03_MOE_VC51,HC01_EST_VC52,HC01_MOE_VC52,HC02_EST_VC52,HC02_MOE_VC52,HC03_EST_VC52,HC03_MOE_VC52,HC01_EST_VC54,HC01_MOE_VC54,HC02_EST_VC54,HC02_MOE_VC54,HC03_EST_VC54,HC03_MOE_VC54
0400000US01,01,Alabama,4482152,2720,742064,20891,16.6,0.5,1098926,3152,253108,10787,23.0,1.0,1092807,3548,247980,10671,22.7,1.0,2799217,2233,415525,11813,14.8,0.4,584009,2170,73431,4159,12.6,0.7,2162909,4331,310457,11052,14.4,0.5,2319243,4594,431607,12205,18.6,0.5,,,,,,,3172849,4903,366282,14225,11.5,0.4,1161844,5111,343838,14837,29.6,1.3,20390,2429,4482,1726,22.0,7.1,44786,3332,7073,1723,15.8,3.7,,,,,,,34264,4295,10652,2934,31.1,6.8,44819,4073,9600,1750,21.4,3.6,109519,1838,29531,3816,27.0,3.4,3107305,2893,349511,13488,11.2,0.4,2961153,4903,383630,12063,13.0,0.4,568623,12384,163645,7972,28.8,1.3,965822,14447,131748,6695,13.6,0.6,791341,13113,66241,3946,8.4,0.5,635367,12238,21996,2324,3.5,0.4,2150100,14109,198666,8407,9.2,0.4,2003831,13916,146259,7179,7.3,0.4,1072944,8234,60714,4307,5.7,0.4,930887,8853,85545,4627,9.2,0.5,146269,6369,52407,4424,35.8,2.6,68927,3822,20753,2522,30.1,3.5,77342,4564,31654,3109,40.9,3.2,3511613,3936,514022,14045,14.6,0.4,1382524,14187,38323,3315,2.8,0.2,910697,13612,176825,7499,19.4,0.8,1218392,13781,298874,10252,24.5,0.8,328422,15373,(X),,(X),,972586,25337,(X),,(X),,1215225,24376,(X),,(X),,1545406,25455,(X),,(X),,1684482,23336,(X),,(X),,738543,14726,234453,9793,31.7,1.0,345661,9660,96661,5626,28.0,1.3,392882,9466,137792,6364,35.1,1.4,5193,122,(X),,(X),,260877,8707,10285,1823,3.9,0.7,185780,6136,81034,4742,43.6,2.1,291886,7942,143134,7155,49.0,1.7,22.7,,(X),,(X),
0400000US02,02,Alaska,651997,1058,70919,7094,10.9,1.1,174953,1399,26445,4184,15.1,2.4,173967,1498,25656,4194,14.7,2.4,433969,1215,42644,3726,9.8,0.9,43075,1002,1830,560,4.2,1.3,332505,1850,32825,3330,9.9,1.0,319492,2194,38094,4653,11.9,1.4,,,,,,,450008,2956,30610,4374,6.8,1.0,,,,,,,84846,2826,21858,2320,25.8,2.6,29648,1984,2667,1361,9.0,4.3,,,,,,,,,,,,,52511,4837,8090,3150,15.4,5.5,35394,848,6267,2099,17.7,5.9,434492,1516,29004,4328,6.7,1.0,410749,2214,35254,3393,8.6,0.8,41890,3154,8516,1800,20.3,3.6,117257,5073,14210,2416,12.1,1.9,140193,4975,8731,1503,6.2,1.1,111409,5062,3797,1020,3.4,0.9,352936,5432,25300,2407,7.2,0.7,319966,6231,18140,2199,5.7,0.7,169234,4069,8096,1238,4.8,0.7,150732,4121,10044,1864,6.7,1.2,32970,2713,7160,1475,21.7,4.0,19891,1999,3638,864,18.3,3.8,13079,1618,3522,936,26.9,6.7,498719,1441,46566,3961,9.3,0.8,188116,4901,3637,1123,1.9,0.6,202135,5137,24506,2558,12.1,1.2,108468,4540,18423,2539,17.0,2.0,29396,3914,(X),,(X),,92815,7998,(X),,(X),,119017,8516,(X),,(X),,150871,9045,(X),,(X),,170245,9556,(X),,(X),,121274,6833,23354,2740,19.3,2.0,69337,4831,11559,1807,16.7,2.4,51937,3300,11795,2003,22.7,3.4,5686,357,(X),,(X),,45080,4139,920,480,2.0,1.0,51396,3791,12670,1715,24.7,2.8,24798,2527,9764,1752,39.4,5.1,17.3,,(X),,(X),
0400000US04,04,Arizona,6052150,12167,857349,27234,14.2,0.4,1596667,4200,311863,14980,19.5,0.9,1587193,4861,303654,14938,19.1,0.9,3679239,12027,483538,15441,13.1,0.4,776244,1438,61948,4230,8.0,0.5,3012430,7653,390746,14831,13.0,0.5,3039720,5612,466603,16733,15.4,0.5,,,,,,,4663482,24098,560058,22227,12.0,0.5,198951,5551,37201,6431,18.7,3.1,268555,6598,92293,8558,34.4,3.1,142740,3149,18126,3314,12.7,2.3,,,,,,,621408,18877,120966,12041,19.5,1.9,146186,10505,26235,4354,17.9,2.5,1768426,3499,397498,21095,22.5,1.2,3610117,8827,304653,13463,8.4,0.4,3897755,4159,414250,13416,10.6,0.3,622139,12706,143428,7159,23.1,1.1,1034895,20509,131295,8056,12.7,0.7,1237768,17483,99962,5382,8.1,0.4,1002953,18271,39565,3826,3.9,0.4,2928981,18359,236117,11272,8.1,0.4,2787113,17169,195138,9535,7.0,0.3,1551208,9239,100100,5933,6.5,0.4,1235905,13241,95038,6455,7.7,0.5,141868,7558,40979,4413,28.9,2.4,74440,5124,19577,3010,26.3,3.3,67428,4924,21402,2702,31.7,3.0,4632142,12525,577275,17353,12.5,0.4,1883639,16276,60058,4609,3.2,0.2,1248475,17927,201437,9281,16.1,0.6,1500028,16000,315780,11517,21.1,0.7,387860,20622,(X),,(X),,1136115,32486,(X),,(X),,1452871,33690,(X),,(X),,1887986,38189,(X),,(X),,2073315,39869,(X),,(X),,1141091,21177,265240,11732,23.2,0.8,596388,14449,125088,8405,21.0,1.2,544703,11141,140152,6608,25.7,1.1,6060,143,(X),,(X),,495945,13518,13149,2185,2.7,0.4,301638,11671,108022,7432,35.8,1.6,343508,9981,144069,7820,41.9,1.5,24.8,,(X),,(X),
0400000US05,05,Arkansas,2729090,2973,471155,16444,17.3,0.6,676559,4024,164545,8974,24.3,1.3,670493,4155,159697,8913,23.8,1.3,1682935,3742,261201,9277,15.5,0.6,369596,2071,45409,2657,12.3,0.7,1330744,4362,200769,8825,15.1,0.7,1398346,4263,270386,10036,19.3,0.7,,,,,,,2150902,6314,294323,12700,13.7,0.6,418728,4771,138090,8413,33.0,1.9,22190,2355,5465,1594,24.6,6.2,27410,2271,2874,1093,10.5,4.0,,,,,,,65658,5367,18446,3990,28.1,5.5,42215,4199,11593,2653,27.5,5.4,133743,2189,36557,4957,27.3,3.7,2090241,2779,278415,12130,13.3,0.6,1807039,4231,241154,8094,13.3,0.5,341884,7331,91313,4653,26.7,1.2,656418,11254,92074,4278,14.0,0.6,473740,9154,45258,3963,9.6,0.8,334997,8085,12509,1696,3.7,0.5,1338453,9135,140583,6763,10.5,0.5,1245846,10611,107063,6089,8.6,0.5,663551,7620,47150,4026,7.1,0.6,582295,7643,59913,4009,10.3,0.7,92607,4671,33520,2871,36.2,2.5,46299,3398,13857,1778,29.9,3.4,46308,3428,19663,2116,42.5,3.2,2132059,3705,321212,10501,15.1,0.5,832158,10408,29670,3312,3.6,0.4,594415,9567,119895,7219,20.2,1.1,705486,8818,171647,6819,24.3,0.9,194345,11610,(X),,(X),,631799,18446,(X),,(X),,790878,18626,(X),,(X),,1005142,22323,(X),,(X),,1104545,22072,(X),,(X),,459958,10759,144695,6708,31.5,1.1,213998,6707,59822,4217,28.0,1.6,245960,6547,84873,4653,34.5,1.5,5250,156,(X),,(X),,153210,6658,5903,1213,3.9,0.8,125014,6926,53397,5085,42.7,2.5,181734,6399,85395,4713,47.0,1.7,22.5,,(X),,(X),
0400000US06,06,California,35675356,7967,4690140,69184,13.1,0.2,9376631,8496,1697024,35317,18.1,0.4,9327536,10097,1652912,35490,17.7,0.4,22490626,4427,2673546,40724,11.9,0.2,3808099,3894,319570,9502,8.4,0.2,17734081,9261,2147903,37350,12.1,0.2,17941275,8523,2542237,39082,14.2,0.2,34499300,27322,4552558,68895,13.2,0.2,21379357,61243,2414511,50159,11.3,0.2,2145122,14707,442259,17467,20.6,0.8,255490,10007,42659,5605,16.7,2.0,4429375,16327,442765,19386,10.0,0.4,127230,4353,17439,3351,13.7,2.5,6162726,59183,1192925,39645,19.4,0.6,1176056,25872,137582,10257,11.7,0.8,12827091,7551,2450810,48020,19.1,0.4,15266962,13492,1236718,31903,8.1,0.2,22748784,6544,2300930,33770,10.1,0.1,4459416,32711,917884,20345,20.6,0.4,5236384,38342,615449,18598,11.8,0.3,6377254,37331,489047,11132,7.7,0.2,6675730,34673,278550,9243,4.2,0.1,17858387,35794,1356459,24366,7.6,0.1,16681650,37763,1051870,20266,6.3,0.1,9251166,25432,545041,14884,5.9,0.2,7430484,28340,506829,13132,6.8,0.2,1176737,21481,304589,11122,25.9,0.8,620592,14395,150241,7302,24.2,1.1,556145,13759,154348,7279,27.8,1.0,27376057,10321,3165126,45025,11.6,0.2,10818723,40971,310717,11449,2.9,0.1,8017567,38653,1120866,20543,14.0,0.3,8539767,36927,1733543,28133,20.3,0.3,1939261,39449,(X),,(X),,6412322,81039,(X),,(X),,8148963,87847,(X),,(X),,10434609,85762,(X),,(X),,11437525,81790,(X),,(X),,6304706,41884,1449262,25611,23.0,0.4,3218552,30752,658198,16806,20.5,0.5,3086154,26672,791064,19372,25.6,0.6,5972,68,(X),,(X),,2557648,31527,69555,5875,2.7,0.2,1852728,24409,566973,14548,30.6,0.7,1894330,19477,812734,17035,42.9,0.7,23.7,,(X),,(X),
0400000US08,08,Colorado,4653251,2663,556153,17838,12.0,0.4,1150657,2991,180080,9665,15.7,0.8,1144807,3409,174965,9607,15.3,0.8,3041515,2490,337574,10802,11.1,0.4,461079,1974,38499,2568,8.3,0.5,2331177,3188,255992,9525,11.0,0.4,2322074,3469,300161,11594,12.9,0.5,,,,,,,3860945,14838,403948,16956,10.5,0.4,170117,4885,38584,5289,22.7,3.1,38990,3389,9436,2428,24.2,5.7,130742,3609,16433,3341,12.6,2.5,,,,,,,327833,13792,71037,7543,21.7,2.2,121048,7022,16547,3118,13.7,2.3,915025,1895,211199,12344,23.1,1.3,3333955,3668,273544,13018,8.2,0.4,3072838,4197,277311,8820,9.0,0.3,358333,9789,84091,6334,23.5,1.6,748940,13652,81340,5501,10.9,0.7,899324,13934,73540,4029,8.2,0.4,1066241,10805,38340,3750,3.6,0.4,2564788,13438,191229,8363,7.5,0.3,2424995,13517,153077,8260,6.3,0.3,1324904,8938,73256,4586,5.5,0.4,1100091,9753,79821,5787,7.3,0.5,139793,6135,38152,3252,27.3,2.0,71594,4580,18006,2531,25.2,3.2,68199,4225,20146,2227,29.5,2.7,3629783,4004,391647,11246,10.8,0.3,1565422,14138,39290,3955,2.5,0.3,1177796,15434,171346,8124,14.5,0.7,886565,12250,181011,6719,20.4,0.6,255025,12234,(X),,(X),,735831,21621,(X),,(X),,923408,23071,(X),,(X),,1182252,23909,(X),,(X),,1314334,24838,(X),,(X),,938139,17237,207841,7892,22.2,0.7,482394,11279,97911,5380,20.3,1.0,455745,10418,109930,6177,24.1,1.1,5624,146,(X),,(X),,414309,11452,10528,2000,2.5,0.5,305538,9478,103032,6648,33.7,1.7,218292,6608,94281,5240,43.2,1.6,19.5,,(X),,(X),
0400000US09,09,Connecticut,3393432,2120,280108,12632,8.3,0.4,805037,2294,88582,7268,11.0,0.9,801753,2533,85906,7127,10.7,0.9,2144767,1620,164412,7502,7.7,0.4,443628,1557,27114,2444,6.1,0.6,1649072,2573,118826,6331,7.2,0.4,1744360,3098,161282,7891,9.2,0.5,,,,,,,2719005,9088,165822,9672,6.1,0.3,316092,5001,51549,5668,16.3,1.8,,,,,,,112952,2514,8902,2518,7.9,2.2,,,,,,,177554,9866,44707,5956,25.2,3.2,59783,5688,8282,2072,13.9,3.2,378462,1542,86729,7977,22.9,2.1,2535501,3279,128626,7843,5.1,0.3,2317853,2196,154658,6908,6.7,0.3,265199,7437,48291,3353,18.2,1.2,684685,12731,53044,4377,7.7,0.6,575385,9671,34566,3670,6.0,0.6,792584,12957,18757,2038,2.4,0.3,1857359,10308,86149,5054,4.6,0.3,1743059,10899,60888,4477,3.5,0.3,916762,7500,24803,2694,2.7,0.3,826297,7972,36085,3036,4.4,0.4,114300,5414,25261,2849,22.1,2.2,59814,4343,10826,1708,18.1,2.9,54486,3682,14435,2285,26.5,3.3,2687085,3278,201581,8179,7.5,0.3,1142813,11531,11642,2054,1.0,0.2,809381,11480,74235,4400,9.2,0.5,734891,10642,115704,6081,15.7,0.8,125807,8799,(X),,(X),,369862,13532,(X),,(X),,465864,14619,(X),,(X),,612144,16858,(X),,(X),,684067,17775,(X),,(X),,598176,11296,109964,5791,18.4,0.9,282510,7120,46545,4191,16.5,1.4,315666,7691,63419,3366,20.1,1.0,5520,214,(X),,(X),,256303,8366,4098,1261,1.6,0.5,156668,8021,42195,3901,26.9,2.1,185205,5895,63671,3849,34.4,1.4,25.2,,(X),,(X),
0400000US10,10,Delaware,828673,1089,91962,8734,11.1,1.1,199655,1436,31565,5059,15.8,2.5,198149,1610,30355,5091,15.3,2.5,518994,845,52790,4613,10.2,0.9,110024,775,7607,1526,6.9,1.4,401881,1656,39762,4671,9.9,1.2,426792,1561,52200,5055,12.2,1.2,,,,,,,599456,3804,50695,6414,8.5,1.1,169331,2194,31927,5342,18.9,3.1,,,,,,,24120,1233,1742,967,7.2,4.0,,,,,,,,,,,,,,,,,,,52554,451,13036,3423,24.8,6.5,571124,1368,42923,5298,7.5,0.9,555981,1108,45762,4121,8.2,0.7,77771,4487,14031,2027,18.0,2.5,188497,6251,19593,2946,10.4,1.5,137910,5746,8685,1354,6.3,0.9,151803,5695,3453,1037,2.3,0.7,428721,5856,26370,3169,6.2,0.7,403985,6203,20632,2628,5.1,0.6,209450,3968,8195,1436,3.9,0.7,194535,4603,12437,1948,6.4,1.0,24736,2967,5738,1596,23.2,5.5,13919,2258,2857,1196,20.5,7.8,10817,1460,2881,800,26.6,6.0,651101,1526,63172,5105,9.7,0.8,282942,6069,6503,1509,2.3,0.5,177765,6169,25282,2519,14.2,1.4,190394,5414,31387,3328,16.5,1.6,40777,5162,(X),,(X),,114534,9757,(X),,(X),,143702,9835,(X),,(X),,182534,10697,(X),,(X),,202824,10205,(X),,(X),,156518,6310,34532,3385,22.1,2.0,74605,3561,14731,2363,19.7,2.9,81913,4318,19801,2373,24.2,2.6,5739,341,(X),,(X),,68508,4658,1272,506,1.9,0.8,39288,3386,13596,1612,34.6,2.9,48722,3221,19664,2582,40.4,3.7,23.5,,(X),,(X),
0400000US11,11,District of Columbia,551161,908,108100,7848,19.6,1.4,112439,998,36678,4038,32.6,3.6,111634,1152,35873,4027,32.1,3.7,370468,713,61064,4689,16.5,1.3,68254,625,10358,1585,15.2,2.3,255626,2049,46883,4071,18.3,1.6,295535,2136,61217,5258,20.7,1.8,,,,,,,183970,3232,16415,2675,8.9,1.4,310793,2978,83376,7145,26.8,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45926,812,8444,2949,18.4,6.5,168014,997,13623,2313,8.1,1.4,386645,882,55531,4406,14.4,1.1,58990,3922,19966,2477,33.8,3.4,79857,4511,16583,2456,20.8,2.9,68295,4087,9616,1788,14.1,2.5,179503,4580,9366,1785,5.2,1.0,307638,4916,27757,3081,9.0,1.0,281151,4477,16576,2393,5.9,0.9,135335,3159,6110,1164,4.5,0.9,145816,4037,10466,1882,7.2,1.3,26487,3075,11181,2096,42.2,5.8,13706,1944,5420,1315,39.5,7.6,12781,2307,5761,1495,45.1,7.7,451350,1126,74815,5443,16.6,1.2,203894,4355,3965,1013,1.9,0.5,116451,5365,24987,2779,21.5,2.2,131005,4691,45863,4335,35.0,2.6,57613,6501,(X),,(X),,126697,7308,(X),,(X),,146893,9158,(X),,(X),,173143,9263,(X),,(X),,185190,8748,(X),,(X),,198347,6451,41521,3607,20.9,1.6,95625,4487,19741,2299,20.6,2.1,102722,3506,21780,2456,21.2,2.2,6291,296,(X),,(X),,99303,4909,1492,638,1.5,0.6,52580,3654,15766,2187,30.0,3.3,46464,3159,24263,2768,52.2,3.8,23.4,,(X),,(X),
0400000US12,12,Florida,17686295,6001,2226587,41963,12.6,0.2,3945049,6516,689315,21214,17.5,0.5,3919737,7440,667719,21335,17.0,0.5,10789487,3761,1240012,24344,11.5,0.2,2951759,3602,297260,9299,10.1,0.3,8624705,8708,965963,22563,11.2,0.3,9061590,8223,1260624,26064,13.9,0.3,,,,,,,13508676,25906,1374093,32191,10.2,0.2,2664315,14335,623982,23665,23.4,0.9,52843,4909,8865,1922,16.8,3.4,387601,4988,33716,4449,8.7,1.1,,,,,,,755480,24213,137200,11000,18.2,1.4,308305,13090,47054,4499,15.3,1.4,3582247,4492,590568,19517,16.5,0.5,10820838,10465,950967,25741,8.8,0.2,12233026,7338,1233777,22414,10.1,0.2,1832252,24859,409875,13985,22.4,0.7,3794997,32521,427328,13032,11.3,0.3,3466084,29232,251910,10124,7.3,0.3,3139693,29562,144664,6177,4.6,0.2,8797583,29789,621281,16942,7.1,0.2,8321297,29361,495378,14241,6.0,0.2,4476676,18545,223365,10033,5.0,0.2,3844621,20502,272013,9766,7.1,0.3,476286,9972,125903,7125,26.4,1.4,237814,7581,53206,3942,22.4,1.5,238472,8065,72697,5587,30.5,2.1,14211464,7172,1611282,27603,11.3,0.2,5716445,32035,139776,6498,2.4,0.1,3619587,27167,527837,15160,14.6,0.4,4875432,24014,943669,18775,19.4,0.4,924418,28057,(X),,(X),,3030751,49336,(X),,(X),,3902625,58089,(X),,(X),,5094908,63496,(X),,(X),,5665205,59602,(X),,(X),,3533692,29855,803842,15736,22.7,0.4,1760024,20746,337071,11066,19.2,0.6,1773668,17573,466771,11221,26.3,0.6,5580,76,(X),,(X),,1451305,22525,36390,3445,2.5,0.2,857843,15555,279902,10462,32.6,0.9,1224544,15439,487550,11370,39.8,0.7,24.5,,(X),,(X),
